areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-03-17,79
K02000001,United Kingdom,overview,2021-03-16,80
K02000001,United Kingdom,overview,2021-03-15,90
K02000001,United Kingdom,overview,2021-03-14,94
K02000001,United Kingdom,overview,2021-03-13,107
K02000001,United Kingdom,overview,2021-03-12,92
K02000001,United Kingdom,overview,2021-03-11,121
K02000001,United Kingdom,overview,2021-03-10,116
K02000001,United Kingdom,overview,2021-03-09,133
K02000001,United Kingdom,overview,2021-03-08,143
K02000001,United Kingdom,overview,2021-03-07,131
K02000001,United Kingdom,overview,2021-03-06,153
K02000001,United Kingdom,overview,2021-03-05,169
K02000001,United Kingdom,overview,2021-03-04,153
K02000001,United Kingdom,overview,2021-03-03,147
K02000001,United Kingdom,overview,2021-03-02,181
K02000001,United Kingdom,overview,2021-03-01,224
K02000001,United Kingdom,overview,2021-02-28,211
K02000001,United Kingdom,overview,2021-02-27,229
K02000001,United Kingdom,overview,2021-02-26,226
K02000001,United Kingdom,overview,2021-02-25,258
K02000001,United Kingdom,overview,2021-02-24,273
K02000001,United Kingdom,overview,2021-02-23,286
K02000001,United Kingdom,overview,2021-02-22,281
K02000001,United Kingdom,overview,2021-02-21,325
K02000001,United Kingdom,overview,2021-02-20,350
K02000001,United Kingdom,overview,2021-02-19,381
K02000001,United Kingdom,overview,2021-02-18,416
K02000001,United Kingdom,overview,2021-02-17,430
K02000001,United Kingdom,overview,2021-02-16,445
K02000001,United Kingdom,overview,2021-02-15,517
K02000001,United Kingdom,overview,2021-02-14,493
K02000001,United Kingdom,overview,2021-02-13,490
K02000001,United Kingdom,overview,2021-02-12,526
K02000001,United Kingdom,overview,2021-02-11,572
K02000001,United Kingdom,overview,2021-02-10,607
K02000001,United Kingdom,overview,2021-02-09,607
K02000001,United Kingdom,overview,2021-02-08,676
K02000001,United Kingdom,overview,2021-02-07,635
K02000001,United Kingdom,overview,2021-02-06,699
K02000001,United Kingdom,overview,2021-02-05,751
K02000001,United Kingdom,overview,2021-02-04,715
K02000001,United Kingdom,overview,2021-02-03,857
K02000001,United Kingdom,overview,2021-02-02,849
