model_period,time_window,variables,coefficents,st_error,CI_lower,CI_upper,N,exp_coef,coefficents_formatted
Pre + Post,4,time_of_report_22,0.8735288333723258,0.08118801379418891,2.0463048949432756,2.813696457661665,2752,2.395348743398467,"2.40 [2.05, 2.81]"
Pre + Post,8,(Intercept),1.4209718401724074,0.02302570399349594,3.957610841354419,4.331445199011093,2752,4.141143014426306,"4.14 [3.96, 4.33]"
Pre + Post,8,quarter_1,-0.10615338820668574,0.022637470098029234,0.8602293825422102,0.9400565164463152,2752,0.8992866975223712,"0.90 [0.86, 0.94]"
Pre + Post,8,quarter_2,0.036328560590390926,0.022381201252366603,0.9924640330490146,1.0834731172102132,2752,1.0369965067085756,"1.04 [0.99, 1.08]"
Pre + Post,8,quarter_3,0.31367532794570896,0.019995126660780682,1.3159044376112141,1.4231976543010039,2752,1.3684453684453686,"1.37 [1.32, 1.42]"
Pre + Post,8,weekend_1,-0.1392181818355124,0.01728921638623037,0.840970772849854,0.8999427419540499,2752,0.8700381812210507,"0.87 [0.84, 0.90]"
Pre + Post,8,time_of_report_12,0.7265995463774317,0.022353527288834375,1.9796046615832559,2.1609005006679074,2752,2.068036375884143,"2.07 [1.98, 2.16]"
Pre + Post,8,time_of_report_16,0.6846911856449474,0.02250890244438301,1.8977704831479463,2.0728340210450527,2752,1.9831593128999563,"1.98 [1.90, 2.07]"
Pre + Post,8,time_of_report_22,-0.16635008561356543,0.027103250697884697,0.8029091437624462,0.8929143301276297,2752,0.8467497473896949,"0.85 [0.80, 0.89]"
Post-SDEC,4,(Intercept),-2.23461000024299,0.25208231330546854,0.06338450477506526,0.1709335803850699,724,0.10703386489555837,"0.11 [0.06, 0.17]"
Post-SDEC,4,quarter_1,-0.004322790602153699,0.15433752403710696,0.7391010690390613,1.3550941112580446,724,0.9956865392086937,"1.00 [0.74, 1.36]"
Post-SDEC,4,quarter_2,-0.094895155163746,0.18125207151794706,0.6364995369571624,1.2977051037078855,724,0.9094682825229278,"0.91 [0.64, 1.30]"
Post-SDEC,4,weekend_1,0.18700790717327398,0.1354656429611609,0.9203642047830608,1.5664973531378796,724,1.2056368181914616,"1.21 [0.92, 1.57]"
Post-SDEC,4,time_of_report_12,1.3737155789130227,0.2503162424474492,2.4704456008954025,6.626918222661031,724,3.949999999999969,"3.95 [2.47, 6.63]"
Post-SDEC,4,time_of_report_16,1.5581446180465364,0.24602095277942526,3.0002501472930203,7.912460269381536,724,4.749999999999936,"4.75 [3.00, 7.91]"
Post-SDEC,4,time_of_report_22,0.9932517730102728,0.26176040781672855,1.6445890808457164,4.61633123794414,724,2.6999999999999713,"2.70 [1.64, 4.62]"
Post-SDEC,8,(Intercept),0.6012814256995715,0.06699669585919585,1.596912673892907,2.076647985816469,724,1.824455206894963,"1.82 [1.60, 2.08]"
Post-SDEC,8,quarter_1,-0.06499751919231965,0.046601741353464864,0.8556192449953719,1.027140252056294,724,0.9370697880644472,"0.94 [0.86, 1.03]"
Post-SDEC,8,quarter_2,-0.14138994157049775,0.054926532564070686,0.779432628527803,0.9667370009693677,724,0.8681507176317453,"0.87 [0.78, 0.97]"
Post-SDEC,8,weekend_1,-0.10505767086182421,0.04396781747590285,0.8254492343966591,0.980739715144834,724,0.9002726015923053,"0.90 [0.83, 0.98]"
Post-SDEC,8,time_of_report_12,1.1505720275985318,0.06624336302966785,2.779161407343255,3.603545423459588,724,3.159999999999087,"3.16 [2.78, 3.60]"
Post-SDEC,8,time_of_report_16,1.1999647829281086,0.0658585369491623,2.922178554126572,3.7832700336012306,724,3.319999999999042,"3.32 [2.92, 3.78]"
Post-SDEC,8,time_of_report_22,0.3123746850418902,0.07597601386550873,1.1781772357301314,1.5871317207180804,724,1.3666666666663083,"1.37 [1.18, 1.59]"
