model_period,time_window,null_df,null_deviance,residual_deviance,AIC
Pre,4,807,1209.4214390249053,952.7201777785143,2184.5939722035105
Pre,8,807,1877.1255190136287,1019.951441087732,4015.772932655702
Post,4,1459,2042.0254989218506,1522.069443280156,3180.962340625864
Post,8,1459,3845.812163988691,1973.7199641760878,6738.301347351685
Pre + Post,4,2751,4055.1549045406964,3235.375109733267,6760.893428645793
Pre + Post,8,2751,7576.177443004852,4492.785242396782,13931.322617644988
Post-SDEC,4,723,690.5341301141942,629.1307779060223,1062.1507877637332
Post-SDEC,8,723,1541.27056728649,913.6902035063673,2951.5702125061807
