model_period,variables,coefficents,st_error,CI_lower,CI_upper,coefficents_formatted
Pre,quarter_3,0.10537001610190212,0.012137497450607194,1.0850010538000807,1.137871115442731,"0.11 [ 1.09 ,  1.14 ]"
Pre,quarter_4,0.02331461796033339,0.012252459680900635,0.9993004830398845,1.0484668954951177,"0.02 [ 1 ,  1.05 ]"
Pre,weekend_1,0.03866649255586715,0.010477570997514033,1.0182961921351594,1.0609897027527802,"0.04 [ 1.02 ,  1.06 ]"
Pre,arrival_time_06_12,0.026761229642494236,0.012793227454443059,1.0016883883109924,1.053202470872463,"0.03 [ 1 ,  1.05 ]"
Pre,arrival_time_12_16,0.08290520882478263,0.014275775215955317,1.0564615921437026,1.1172666530348048,"0.08 [ 1.06 ,  1.12 ]"
Pre,arrival_time_16_22,0.06280054176744128,0.014789527210040846,1.0343917792543906,1.0961318500683752,"0.06 [ 1.03 ,  1.1 ]"
Pre,num_MAJORS_RESUS_scaled,-0.15448417496854233,0.01303125317894856,0.8352493617628051,0.8790237273716756,"-0.15 [ 0.84 ,  0.88 ]"
Pre,num_elsewhere_scaled,-0.02017538494969462,0.013684343872329587,0.9540910173175041,1.0066675660970223,"-0.02 [ 0.95 ,  1.01 ]"
Post,quarter_2,0.33099366814505554,0.012202264521644267,1.3594465510335563,1.426051829118925,"0.33 [ 1.36 ,  1.43 ]"
Post,quarter_3,0.4258979130916096,0.012428091585596721,1.4941228334773897,1.5687145483730534,"0.43 [ 1.49 ,  1.57 ]"
Post,quarter_4,0.1310380747396759,0.011102882898518301,1.1154710969256478,1.1650911512174527,"0.13 [ 1.12 ,  1.17 ]"
Post,weekend_1,0.010146623550981768,0.009003151673663962,0.9925288195853745,1.028182290373456,"0.01 [ 0.99 ,  1.03 ]"
Post,arrival_time_06_12,0.01091542296500434,0.011876281258597252,0.9877144308922621,1.0347837901633474,"0.01 [ 0.99 ,  1.03 ]"
Post,arrival_time_12_16,0.10836208879105039,0.012843333722950953,1.0867478551552294,1.1428607630970944,"0.11 [ 1.09 ,  1.14 ]"
Post,arrival_time_16_22,0.11988064445207784,0.013298919604623783,1.0983567958591833,1.1571337565825823,"0.12 [ 1.1 ,  1.16 ]"
Post,num_MAJORS_RESUS_scaled,-0.10878663232201956,0.011683374163250338,0.8766165381771017,0.9176973381351949,"-0.11 [ 0.88 ,  0.92 ]"
Post,num_elsewhere_scaled,-0.15093586350800903,0.01245632792644126,0.8391634152663935,0.8811548437646459,"-0.15 [ 0.84 ,  0.88 ]"
Pre + Post,quarter_2,0.11723689764900745,0.007300500995411199,1.10841179856206,1.1405899364493974,"0.12 [ 1.11 ,  1.14 ]"
Pre + Post,quarter_3,0.2128054795574496,0.0075128074106127745,1.2190607041894121,1.2554954951353914,"0.21 [ 1.22 ,  1.26 ]"
Pre + Post,quarter_4,0.0436690796312365,0.007250896938046981,1.0298957492277663,1.059588448377561,"0.04 [ 1.03 ,  1.06 ]"
Pre + Post,weekend_1,0.0012595588813682362,0.006007646003668946,0.9895398806437484,1.0131196458234104,"0 [ 0.99 ,  1.01 ]"
Pre + Post,arrival_time_06_12,-0.012401903593804487,0.007667639107020531,0.9729425914887135,1.002629844893679,"-0.01 [ 0.97 ,  1 ]"
Pre + Post,arrival_time_12_16,0.11513694964809279,0.008472027048912123,1.103549807642346,1.1408137431430818,"0.12 [ 1.1 ,  1.14 ]"
Pre + Post,arrival_time_16_22,0.1327886063465523,0.008752309048408085,1.1225853752038988,1.1617678073011166,"0.13 [ 1.12 ,  1.16 ]"
Pre + Post,num_MAJORS_RESUS_scaled,-0.24929266086568097,0.008965099135978894,0.7657772619351119,0.7931670772477136,"-0.25 [ 0.77 ,  0.79 ]"
Pre + Post,num_elsewhere_scaled,-0.1251500368155473,0.00915525894045562,0.8666725851818776,0.8983405427424186,"-0.13 [ 0.87 ,  0.9 ]"
Pre + Post,post_Covid_1,-0.06343454857646731,0.007818914458957034,0.9242623312882078,0.9530291789139197,"-0.06 [ 0.92 ,  0.95 ]"
Post-SDEC,quarter_2,-0.057806332374051535,0.014197259120061197,0.917931555951224,0.9704647332079861,"-0.06 [ 0.92 ,  0.97 ]"
Post-SDEC,quarter_4,-0.0020971819855481835,0.012205373303898578,0.9743163103781819,1.022064815584855,"0 [ 0.97 ,  1.02 ]"
Post-SDEC,weekend_1,0.033814639681766026,0.012236930488331282,1.0098791766754955,1.0595015722928083,"0.03 [ 1.01 ,  1.06 ]"
Post-SDEC,arrival_time_06_12,-0.021039012338710323,0.01646991802335315,0.9480770928206053,1.011304856162411,"-0.02 [ 0.95 ,  1.01 ]"
Post-SDEC,arrival_time_12_16,0.08878757661446762,0.019109276411200707,1.0526745152865398,1.1345556428186063,"0.09 [ 1.05 ,  1.13 ]"
Post-SDEC,arrival_time_16_22,0.10586435110250164,0.01890099703628614,1.0712423799147932,1.1536255375454418,"0.11 [ 1.07 ,  1.15 ]"
Post-SDEC,num_MAJORS_RESUS_scaled,-0.1255915705853182,0.015203135252854523,0.856081952832329,0.9086512034325172,"-0.13 [ 0.86 ,  0.91 ]"
Post-SDEC,num_SDEC_scaled,-0.11501676988776009,0.016212532558303638,0.8634729138072703,0.9201295625688685,"-0.12 [ 0.86 ,  0.92 ]"
Post-SDEC,num_elsewhere_scaled,0.03620704410703966,0.015911378763417156,1.0050339427148793,1.0697155515162233,"0.04 [ 1.01 ,  1.07 ]"
