name,mean,sd,model_period
num_MAJORS_RESUS,23.101751207729468,7.91159081365538,Pre
num_elsewhere,33.25744766505636,14.523040884911806,Pre
quarter_1,0,0,Pre
quarter_2,0.2909621578099839,0.4542289574928003,Pre
quarter_3,0.45954106280193235,0.4983854664819597,Pre
quarter_4,0.24949677938808373,0.43274355429548794,Pre
weekend_1,0.2469806763285024,0.43127710540870196,Pre
arrival_time_06_12,0.19675925925925927,0.3975688129892937,Pre
arrival_time_12_16,0.26419082125603865,0.4409235736565114,Pre
arrival_time_16_22,0.35507246376811596,0.47855935751369877,Pre
arrival_time_22_06,0.18397745571658616,0.3874853064344179,Pre
num_MAJORS_RESUS,12.09708311368828,5.807349427093748,Post
num_elsewhere,17.13073273589879,11.06109063371652,Post
quarter_1,0.24389386751010367,0.4294483114317055,Post
quarter_2,0.19486909154805834,0.39611729880688007,Post
quarter_3,0.26779124934106485,0.4428276467797832,Post
quarter_4,0.29344579160077316,0.4553609301066054,Post
weekend_1,0.23862238622386223,0.4262601396069017,Post
arrival_time_06_12,0.19091548058337726,0.39303986081990827,Post
arrival_time_12_16,0.2611140397118257,0.4392612550885734,Post
arrival_time_16_22,0.35538569671411,0.47865105469235913,Post
arrival_time_22_06,0.19258478299068704,0.3943469882124636,Post
num_MAJORS_RESUS,17.682533704903218,8.472795491476065,Pre + Post
num_elsewhere,26.287376666415607,15.663682821729216,Pre + Post
quarter_1,0.22497552157866987,0.4175740686591951,Pre + Post
quarter_2,0.1924003916547413,0.3941932682480993,Pre + Post
quarter_3,0.28673646155004895,0.45224591258368174,Pre + Post
quarter_4,0.2958876252165399,0.45644932312859593,Pre + Post
weekend_1,0.2435038035700836,0.42920465823613385,Pre + Post
arrival_time_06_12,0.19443398358062816,0.3957717882263243,Pre + Post
arrival_time_12_16,0.2630865406341794,0.44031728797957187,Pre + Post
arrival_time_16_22,0.35354372222640656,0.47807861909462085,Pre + Post
arrival_time_22_06,0.18893575355878586,0.391464948174051,Pre + Post
post_Covid_1,0.42863598704526623,0.4948902918714594,Pre + Post
num_MAJORS_RESUS,12.92620700791216,5.6745737782693375,Post-SDEC
num_elsewhere,14.268690456967544,8.257551737898511,Post-SDEC
num_SDEC,13.575326982076538,6.8457666000850015,Post-SDEC
quarter_1,0.47182302599709347,0.49924573567778907,Post-SDEC
quarter_2,0.2594865170353625,0.43838829479831887,Post-SDEC
quarter_3,0,0,Post-SDEC
quarter_4,0.268690456967544,0.44331436829335563,Post-SDEC
weekend_1,0.2386565477151623,0.42629677948405886,Post-SDEC
arrival_time_06_12,0.18488616179557565,0.3882365353174631,Post-SDEC
arrival_time_12_16,0.27240432746649446,0.4452327693710768,Post-SDEC
arrival_time_16_22,0.3649281446794768,0.4814488780018713,Post-SDEC
arrival_time_22_06,0.1777813660584531,0.3823594631221059,Post-SDEC
