model_period,null_df,null_deviance,residual_deviance,AIC,text_
Pre,807,1209.4214390249053,952.7201777785143,2184.5939722035105,4 hours
Pre,807,1877.1255190136287,1019.951441087732,4015.772932655702,8 hours
Post,1459,2042.0254989218506,1522.069443280156,3180.962340625864,4 hours
Post,1459,3845.812163988691,1973.7199641760878,6738.301347351685,8 hours
Pre + Post,2751,4055.1549045406964,3235.375109733267,6760.893428645793,4 hours
Pre + Post,2751,7576.177443004852,4492.785242396782,13931.322617644988,8 hours
Post-SDEC,859,807.8031820792801,737.1755515059089,1239.406663054275,4 hours
Post-SDEC,859,1825.6430434202352,1102.197284942761,3480.783557443039,8 hours
