model_period,variables,coefficents,st_error,CI_lower,CI_upper,coefficents_formatted
Pre,quarter_3,0.10513472196185016,0.01213562738679701,1.0847497653226146,1.137599242930786,"0.11 [ 1.08 ,  1.14 ]"
Pre,quarter_4,0.023232768706712557,0.012247788269176137,0.9992278430755621,1.0483714840519254,"0.02 [ 1 ,  1.05 ]"
Pre,weekend_1,0.03882353028425727,0.010476160887638503,1.0184589303895002,1.0611533984664645,"0.04 [ 1.02 ,  1.06 ]"
Pre,arrival_time_06_12,0.02688442129622059,0.012793172553241472,1.0018119033606232,1.0533321112755312,"0.03 [ 1 ,  1.05 ]"
Pre,arrival_time_12_16,0.08295523938785371,0.014273088964830842,1.0565200113503908,1.1173166692748897,"0.08 [ 1.06 ,  1.12 ]"
Pre,arrival_time_16_22,0.06299954786509591,0.01478755638275042,1.0346016464102323,1.096345773778726,"0.06 [ 1.03 ,  1.1 ]"
Pre,num_MAJORS_RESUS_scaled,-0.1542442175727025,0.013029518687249705,0.8354526502240246,0.879231691935602,"-0.15 [ 0.84 ,  0.88 ]"
Pre,num_elsewhere_scaled,-0.02028299346314835,0.013678664437870013,0.95399897389329,1.0065480414860906,"-0.02 [ 0.95 ,  1.01 ]"
Post,quarter_2,0.32921022031543434,0.012176143624085421,1.3570936857492784,1.4234379304233495,"0.33 [ 1.36 ,  1.42 ]"
Post,quarter_3,0.42379025767260803,0.012402082059545176,1.4910530622346783,1.5653319213797314,"0.42 [ 1.49 ,  1.57 ]"
Post,quarter_4,0.12985939946638014,0.011086832213614053,1.1141921438263158,1.16368208750835,"0.13 [ 1.11 ,  1.16 ]"
Post,weekend_1,0.010394513701896143,0.008985768047759336,0.9928087138901022,1.0284021586543206,"0.01 [ 0.99 ,  1.03 ]"
Post,arrival_time_06_12,0.011808790178084434,0.01186070831540257,0.9886273916759082,1.035677033290961,"0.01 [ 0.99 ,  1.04 ]"
Post,arrival_time_12_16,0.10925684919373368,0.012827688058523454,1.0877540246557529,1.1438487306860288,"0.11 [ 1.09 ,  1.14 ]"
Post,arrival_time_16_22,0.12011529880650561,0.013292559349908252,1.0986282555774818,1.1573908869426799,"0.12 [ 1.1 ,  1.16 ]"
Post,num_MAJORS_RESUS_scaled,-0.10791157728613943,0.011668239297710818,0.8774099885340851,0.9184734794552797,"-0.11 [ 0.88 ,  0.92 ]"
Post,num_elsewhere_scaled,-0.15239839271028555,0.012450970907203191,0.8379458093306016,0.8798578328332864,"-0.15 [ 0.84 ,  0.88 ]"
Pre + Post,quarter_2,0.11718597353210984,0.007294217582318063,1.1083690048793857,1.140517808529372,"0.12 [ 1.11 ,  1.14 ]"
Pre + Post,quarter_3,0.21265455581842205,0.0075072664915913885,1.2188899699482996,1.2552923928074629,"0.21 [ 1.22 ,  1.26 ]"
Pre + Post,quarter_4,0.043639535627546536,0.00724773212753953,1.0298717106198876,1.059550572032848,"0.04 [ 1.03 ,  1.06 ]"
Pre + Post,weekend_1,0.0014918896147610632,0.006001372247299275,0.9897819784959612,1.0133425915205883,"0 [ 0.99 ,  1.01 ]"
Pre + Post,arrival_time_06_12,-0.011990460268583482,0.007662867488072261,0.9733520875297693,1.003033074516996,"-0.01 [ 0.97 ,  1 ]"
Pre + Post,arrival_time_12_16,0.11577473643956868,0.008466986364564244,1.1042647712236247,1.1415302932823848,"0.12 [ 1.1 ,  1.14 ]"
Pre + Post,arrival_time_16_22,0.1332690708134229,0.008749289882516489,1.1231315132428066,1.1623192515736867,"0.13 [ 1.12 ,  1.16 ]"
Pre + Post,num_MAJORS_RESUS_scaled,-0.24885764999148946,0.008958505918073267,0.7661203559405645,0.7935019345386124,"-0.25 [ 0.77 ,  0.79 ]"
Pre + Post,num_elsewhere_scaled,-0.12578409065578242,0.00914341476896311,0.8661433488237642,0.8977502862593414,"-0.13 [ 0.87 ,  0.9 ]"
Pre + Post,post_Covid_1,-0.06335330519526458,0.007810191527478334,0.9243532277269475,0.9530903145988896,"-0.06 [ 0.92 ,  0.95 ]"
Post-SDEC,quarter_2,-0.05735660247746737,0.014179181148837042,0.9183770095740618,0.9708668778362957,"-0.06 [ 0.92 ,  0.97 ]"
Post-SDEC,quarter_4,-0.0038556394366326707,0.012189545235845046,0.9726346951336957,1.0202374866184292,"0 [ 0.97 ,  1.02 ]"
Post-SDEC,weekend_1,0.03612768559330147,0.012217971133915474,1.0122553915377897,1.0619156233741776,"0.04 [ 1.01 ,  1.06 ]"
Post-SDEC,arrival_time_06_12,-0.01952896835594473,0.016464189587391112,0.9495204731003727,1.0128217530124461,"-0.02 [ 0.95 ,  1.01 ]"
Post-SDEC,arrival_time_12_16,0.08988506740876649,0.01909455886446094,1.053860849160031,1.135768728020457,"0.09 [ 1.05 ,  1.14 ]"
Post-SDEC,arrival_time_16_22,0.1077545237484986,0.01889127104560483,1.0732895872927346,1.1557861186000344,"0.11 [ 1.07 ,  1.16 ]"
Post-SDEC,num_MAJORS_RESUS_scaled,-0.12615769720429956,0.015190460252010296,0.8556186946938109,0.9081143772298196,"-0.13 [ 0.86 ,  0.91 ]"
Post-SDEC,num_SDEC_scaled,-0.11321698478602919,0.016172609507961604,0.8650960679894146,0.9217149642602748,"-0.11 [ 0.87 ,  0.92 ]"
Post-SDEC,num_elsewhere_scaled,0.035282116824718816,0.01589558987481379,1.0041358623267636,1.0686935279121865,"0.04 [ 1 ,  1.07 ]"
